id,name,category_id,brand_id,reference,model,description,base_price,images,created_at,updated_at
d371f719-6b59-4bb6-9327-4005a9d7afa0,"""MARBLE SIDE TABLE Ref. 4118/072/733/99 Height: 54.50cm Width: 41cm Depth: 27.50cm""",b150d218-7114-4004-a999-5705f43035e8,504e8059-f4a4-4606-b63e-c2b9898c294a,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/marble-side-table-ref-4118-072-733-99-height-54-50cm-width-41cm-depth-27-50cm/image-1.jpg""]",2025-08-26 17:35:46.356+02,2025-08-26 17:35:47.598+02
8e6cee81-551d-4dec-801b-168e4d8f1e8d,"""Mesa auxiliar de diseño Componibili, 3 módulos Kartell Ø 32 x Al 40 cm 3-7 días laborables""",b150d218-7114-4004-a999-5705f43035e8,c5a7b10d-e211-4db9-a7ca-63f2db896a47,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/mesa-auxiliar-de-diseno-componibili-3-modulos-kartell-32-x-al-40-cm-3-7-dias-laborables/image-1.jpg""]",2025-08-26 17:35:47.605+02,2025-08-26 17:35:48.705+02
6972294c-240c-4453-ac3c-92991663c948,"""MESA BAJA - Carlotta Table basse ovale marbre marron et pieds finition iroko""",b150d218-7114-4004-a999-5705f43035e8,67e1edf6-22e6-4b0b-930d-638100eedfde,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/mesa-baja-carlotta-table-basse-ovale-marbre-marron-et-pieds-finition-iroko/image-1.jpg""]",2025-08-26 17:35:48.711+02,2025-08-26 17:35:49.872+02
c37acf39-6971-438a-ac87-233475c8a14b,"""mesa comedor Table de salle à manger ovale Carlotta Alta - 8 places""",b150d218-7114-4004-a999-5705f43035e8,67e1edf6-22e6-4b0b-930d-638100eedfde,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/mesa-comedor-table-de-salle-a-manger-ovale-carlotta-alta-8-places/image-1.jpg""]",2025-08-26 17:35:49.878+02,2025-08-26 17:35:51.081+02
61bac8af-bdce-4455-9c1b-63c366aa6f31,"""MOU5022 Raffia patio umbrella Natural raffia / brown | Diameter 300cm EAN: 8718921054782""",b150d218-7114-4004-a999-5705f43035e8,5f280c48-69e3-4180-b3f7-86c6fc777e45,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/mou5022-raffia-patio-umbrella-natural-raffia-brown-diameter-300cm-ean-8718921054782/image-1.jpg""]",2025-08-26 17:35:51.086+02,2025-08-26 17:35:52.141+02
bce64add-a1cd-4bd6-9461-1e4404d5c1b6,"""MTA2874 Stoneware side table chrome Chrome electroplating | 35x35x45cm EAN: 8718921053242""",b150d218-7114-4004-a999-5705f43035e8,5f280c48-69e3-4180-b3f7-86c6fc777e45,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/mta2874-stoneware-side-table-chrome-chrome-electroplating-35x35x45cm-ean-8718921053242/image-1.jpg""]",2025-08-26 17:35:52.147+02,2025-08-26 17:35:53.347+02
00a34a5f-bc83-4b2e-959c-8b1bfcc8afb1,"""MTA2876 Earthenware side table L cream Cream | 46x46x37cm EAN: 8718921054195""",b150d218-7114-4004-a999-5705f43035e8,5f280c48-69e3-4180-b3f7-86c6fc777e45,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/mta2876-earthenware-side-table-l-cream-cream-46x46x37cm-ean-8718921054195/image-1.jpg""]",2025-08-26 17:35:53.353+02,2025-08-26 17:35:54.116+02
bdbf97b5-f572-4162-9a22-a6ad08c4b01f,"""MZM4794 abaca/teak lounge chair Natural | 75x65x70cm EAN: 8718921029490""",b150d218-7114-4004-a999-5705f43035e8,5f280c48-69e3-4180-b3f7-86c6fc777e45,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/mzm4794-abaca-teak-lounge-chair-natural-75x65x70cm-ean-8718921029490/image-1.jpg""]",2025-08-26 17:35:54.121+02,2025-08-26 17:35:54.996+02
e57dfaf8-f091-4847-9583-03f7c295ac8a,"""OAK BEDSIDE TABLE WITH DRAWER Ref. 5113/072/052/99 45 x 55 x 35 cm""",b150d218-7114-4004-a999-5705f43035e8,504e8059-f4a4-4606-b63e-c2b9898c294a,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/oak-bedside-table-with-drawer-ref-5113-072-052-99-45-x-55-x-35-cm/image-1.jpg""]",2025-08-26 17:35:55.005+02,2025-08-26 17:35:55.863+02
800a0a5d-0f4b-4b90-addf-9d7ec0d51154,"""pilar ventanal 2 Staffa Pedestal - Ivory 1104267965""",b150d218-7114-4004-a999-5705f43035e8,b1c8e34b-222a-4c77-aa27-9c62d25978b2,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/pilar-ventanal-2-staffa-pedestal-ivory-1104267965/image-1.jpg""]",2025-08-26 17:35:55.869+02,2025-08-26 17:35:56.683+02
e24c7a82-0cb0-4351-ac92-31913d4b5180,"""Quiterie Cabecero Quiterie de ratán con acabado natural 90 cm""",b150d218-7114-4004-a999-5705f43035e8,c5dcd762-6c4e-4dc9-8198-bc3b0a3018a9,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/quiterie-cabecero-quiterie-de-ratan-con-acabado-natural-90-cm/image-1.jpg""]",2025-08-26 17:35:56.69+02,2025-08-26 17:35:57.981+02
55a58eca-431e-45c8-9e33-b3f9bc9b6578,"""Quiterie Cabecero redondo Quiterie de ratán con acabado natural 90 cm""",b150d218-7114-4004-a999-5705f43035e8,c5dcd762-6c4e-4dc9-8198-bc3b0a3018a9,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/quiterie-cabecero-redondo-quiterie-de-ratan-con-acabado-natural-90-cm/image-1.jpg""]",2025-08-26 17:35:57.989+02,2025-08-26 17:35:59.405+02
cd52338f-037a-4933-9397-7c9e33760f00,"""RATTAN AND WOOD FOLDING CHAIR Ref. 4206/073/052/99 48.5 x 80 x 46 cm""",b150d218-7114-4004-a999-5705f43035e8,504e8059-f4a4-4606-b63e-c2b9898c294a,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/rattan-and-wood-folding-chair-ref-4206-073-052-99-48-5-x-80-x-46-cm/image-1.jpg""]",2025-08-26 17:35:59.41+02,2025-08-26 17:36:00.467+02
26cace67-a11a-4240-8b54-aea5219e76c8,"""Silla apilable Nina de madera maciza de acacia y cuerda beige FSC 100% CC0555S12""",b150d218-7114-4004-a999-5705f43035e8,c5dcd762-6c4e-4dc9-8198-bc3b0a3018a9,\N,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/amenities/silla-apilable-nina-de-madera-maciza-de-acacia-y-cuerda-beige-fsc-100-cc0555s12/image-1.jpg""]",2025-08-26 17:36:00.473+02,2025-08-26 17:36:01.586+02
