id,equipment_name,brand_id,model,brief_description,image_urls,pdf_url,video_url,quick_use_bullets,maintenance_bullets,created_at,updated_at
4dc11653-e4bb-42ae-8b57-762795444b7a,Aire acondicionado Eluxe,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Aire%2520acondicionado%2520Eluxe/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:11:49.283+02,2025-08-26 12:11:51.19+02
5a9366f3-017e-4d3c-85ef-09c9752c44f1,Barbacoa,\N,\N,descripción si fuera necesaria,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Barbacoa/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:11:51.2+02,2025-08-26 12:11:52.252+02
e63fddf8-2661-4f29-8ea5-44c0829cd728,Barbacoa Weber Compact Kettle Ø 57 cm black,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Barbacoa%2520Weber%2520Compact%2520Kettle%2520%25C3%2598%252057%2520cm%2520black/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:11:52.257+02,2025-08-26 12:11:53.66+02
c16662b0-020a-4a2a-ada5-622e518e9c00,BOSCH Serie 6 Microondas integrable,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/BOSCH%2520Serie%25206%2520Microondas%2520integrable/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:11:53.667+02,2025-08-26 12:11:55.17+02
8a661d81-66fc-479a-8c1b-51ecbee4204b,Cafetera Krups Roma EA810870,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Cafetera%2520Krups%2520Roma%2520EA810870/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:11:55.178+02,2025-08-26 12:11:57.021+02
a773d8ae-9cf0-4d3b-80c5-9c498f472a06,"Frigorífico Side By side Serie 400, Door-In-Door, sin toma de agua, Inox antihuellas. E, 641 L",\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Frigor%25C3%25ADfico%2520Side%2520By%2520side%2520Serie%2520400%252C%2520Door-In-Door%252C%2520sin%2520toma%2520de%2520agua%252C%2520Inox%2520antihuellas.%2520E%252C%2520641%2520L/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:11:57.029+02,2025-08-26 12:11:58.451+02
e273431d-b2bb-4214-9c1f-afbe9f17d407,Horno AEG,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Horno%2520AEG/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:11:58.456+02,2025-08-26 12:11:59.544+02
72a0a979-6eb1-401d-b016-f075c9669a70,Horno multifunción Whirlpool AKZ9 7891 IX con autolimpieza,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Horno%2520multifunci%25C3%25B3n%2520Whirlpool%2520AKZ9%25207891%2520IX%2520con%2520autolimpieza/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:11:59.546+02,2025-08-26 12:12:00.905+02
ff59d247-32f0-400c-8ad2-a1b0c8bd0f6c,KRUPS Sensation C10 Cafetera super automática,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/KRUPS%2520Sensation%2520C10%2520Cafetera%2520super%2520autom%25C3%25A1tica/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:12:00.915+02,2025-08-26 12:12:02.69+02
83eb085d-2932-4760-8594-ca5358bd135a,Lavadora - secadora BOSCH,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Lavadora%2520-%2520secadora%2520BOSCH/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:12:02.696+02,2025-08-26 12:12:04.385+02
d1cbfe5e-4469-42f5-8883-683ff3579cb5,Lavavajillas AEG,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Lavavajillas%2520AEG/image.jpg""]",https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Lavavajillas%2520AEG/manual.pdf,\N,\N,\N,2025-08-26 12:12:04.393+02,2025-08-26 12:12:07.718+02
c0d7fe92-bdaf-4c32-82b9-f015c95c257d,LG Lavasecadora inteligente AI Direct Drive TM,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/LG%2520Lavasecadora%2520inteligente%2520AI%2520Direct%2520Drive%2520TM/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:12:07.726+02,2025-08-26 12:12:09.319+02
2a63485a-0e6a-44f1-8a0e-b5d0a84613ef,Placa inducción AEG,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Placa%2520inducci%25C3%25B3n%2520AEG/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:12:09.327+02,2025-08-26 12:12:10.355+02
29055142-9671-48e6-8cfc-0b12a1f9d079,Frigorífico Haier,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Frigor%25C3%25ADfico%2520Haier/image.jpg""]",\N,\N,\N,\N,2025-08-26 12:12:10.361+02,2025-08-26 12:12:12.158+02
828ed590-6977-4afc-84b8-9ac250a26a35,ALTAVOZ BOSE,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/ALTAVOZ%2520BOSE/image.jpg""]",https://storage.googleapis.com/community-guides.firebasestorage.app/guides/ALTAVOZ%2520BOSE/manual.pdf,\N,\N,\N,2025-08-26 12:12:12.163+02,2025-08-26 12:12:15.787+02
5fdbd0a5-196b-408d-961c-d44183b80eb6,Placa Teka,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Placa%2520Teka/image.jpg""]",https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Placa%2520Teka/manual.pdf,\N,\N,\N,2025-08-26 12:12:16.811+02,2025-08-26 12:12:19.73+02
41f37fb1-0bf7-4f74-82e0-c1624a509ede,Caldera Roca Baxi,\N,\N,\N,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Caldera%2520Roca%2520Baxi/image.jpg""]",https://storage.googleapis.com/community-guides.firebasestorage.app/guides/Caldera%2520Roca%2520Baxi/manual.pdf,\N,\N,\N,2025-08-26 12:12:19.736+02,2025-08-26 12:12:22.891+02
0dd450d1-7d9f-4e45-aaae-bd9c72e78341,lavadora secadora BEKO,\N,\N,Lavadora Secadora BEKO HTV 8716 dsw btr,"[""https://storage.googleapis.com/community-guides.firebasestorage.app/guides/lavadora%2520secadora%2520BEKO/image.jpg""]",https://storage.googleapis.com/community-guides.firebasestorage.app/guides/lavadora%2520secadora%2520BEKO/manual.pdf,\N,\N,\N,2025-08-26 12:12:22.897+02,2025-08-26 12:12:27.868+02
