id,room_id,type,title,estimated_time,tasks,materials,created_at,updated_at
2afd4a41-b849-439b-ac90-43cc1f44e974,10d5f353-7d88-4f06-aa83-efcbf90c2b9d,styling,Salón principal,\N,"- Disposición de los cojines como en la imagen
- Elementos de decoración sobre las mesas de centro
- Mesa auxiliar trasera despejada con el altavoz cargado
- Cortinas semiabiertas
- Alfombra estirada y alineada con el sofá",\N,2025-08-27 16:12:38.22+02,2025-08-27 16:12:38.22+02
85ef6300-d251-478b-8e7c-7461ab7fc0bd,e7fa5d5e-208b-4649-aac4-17dd244dd7b3,styling,Cocina encimera,\N,"- Encimera despejada con electrodomésticos enchufados en una esquina
- Tablero madera y utensilios en la otra esquina
- Mesa de comedor despejada con dos bowls decorativos",\N,2025-08-27 16:12:38.232+02,2025-08-27 16:12:38.232+02
04e99e29-b8c7-4178-b208-f1e218cfa91e,b3513278-dee1-419d-b46c-c44892874ec5,styling,Cajones interiores cocina,\N,- Distribución de todos los cajones y gavetas de la cocina,\N,2025-08-27 16:12:38.24+02,2025-08-27 16:12:38.24+02
14fcacd7-f9d9-408f-a100-e2448bd76511,334c73f9-990e-45de-9021-89e5f9b90474,styling,Habitaciones,\N,"- Sábanas estiradas y planchadas
- Plaids a los pies de la cama
- Dos toallas de los dos tamaños grandes sobre el plaid
- Cojines con acento centrados en la cama
- Cortinas semiabiertas",\N,2025-08-27 16:12:38.252+02,2025-08-27 16:12:38.252+02
114ed060-7a7b-4403-8636-8a30a352d0e8,4511fb7d-8e3e-4001-bd33-05e4e8c37d02,styling,Baños,\N,"- Encimeras despejadas únicamente con jabonera y soporte para cepillos
- Papel higiénico con 3 rollos
- Jaboneras de ducha y lavabo llenas
- Toallas de mano dobladas debajo de la encimera
- Alfombra de baño en la escalera de cada baño",\N,2025-08-27 16:12:38.258+02,2025-08-27 16:12:38.258+02
37957e50-f363-4720-a7eb-192c6ddabb00,3d21246d-7f3b-4263-a502-a3b2eb2df97e,styling,Terraza delantera planta baja,\N,"- Un cojín de rafia por cada sofá
- cesto de mimbre y ceniceros sobre la mesa auxiliar
- Jarrones decorativos en una esquina
- Sofás colocados en forma de U paralelos a la ventana",\N,2025-08-27 16:12:38.264+02,2025-08-27 16:12:38.264+02
1481f0ec-b713-4553-9cea-602cb02f38e1,231282f7-e442-4b81-91ea-8af65854d288,styling,Terraza trasera planta baja,\N,"- Paella y bbq en el exterior
- Hamacas con el colchón puesto
- Mesa exterior (no está en la foto) despejada con sillas recogidas",\N,2025-08-27 16:12:38.268+02,2025-08-27 16:12:38.268+02
73b445d9-3554-4bbb-bef7-7cb90ff051a5,4ded0009-ada9-45ba-8955-fb214a69d8bf,styling,Terraza planta alta,\N,- Sofás orientados al mar,\N,2025-08-27 16:12:38.275+02,2025-08-27 16:12:38.275+02
aa5a5517-0700-4bcb-8066-ca9900b76888,9bc89d09-0cfc-45c4-be85-0911e51a239c,styling,Salón planta baja,\N,"- Plaid doblado en un lado del sofá
- Las dos mesillas juntas centradas con el sofá
- Cuatro cojines sobre el sofá
- Cortinas semiabiertas",\N,2025-08-27 16:12:38.28+02,2025-08-27 16:12:38.281+02
56a1a580-2a43-431d-b637-1f1ea69d023b,c2b64b48-b3f5-46ca-a401-992570fe64c3,styling,Salón - Comedor,\N,"- Disposición de los cojines como en la imagen
- Elementos de decoración sobre las mesas de centro
- Cortinas semiabiertas
- Alfombra estirada y alineada con el sofá",\N,2025-08-27 16:12:38.286+02,2025-08-27 16:12:38.286+02
808a0c9e-52b1-4840-b6ce-8144c46544c5,f6de0c51-d790-4343-9494-b23ae6eb68b9,styling,Cocina-encimera,\N,"- Encimera despejada con electrodomésticos enchufados en una esquina
- Tablero madera y utensilios en la misma esquina
- Mesa de comedor alta despejada con un bowls azul decorativos
- Cafetera en la otra esquina
- Elementos de limpieza guardados detrás del grifo",\N,2025-08-27 16:12:38.291+02,2025-08-27 16:12:38.291+02
2a6e4578-9739-41d4-a9d6-8e7186758e7c,6b06b885-4022-4128-941a-908783df10b2,styling,Cajones interiores de cocina,\N,- Distribución de todos los cajones y gavetas de la cocina,\N,2025-08-27 16:12:38.296+02,2025-08-27 16:12:38.296+02
